chapter_no,slug,status,attempts,last_error,completed_at,drive_folder_id,updated_at
070,the-deliverance-of-dvivida-gorilla,pending,0,,,,2026-06-21T11:57:53
071,the-marriage-of-samba,pending,0,,,,2026-06-21T11:57:53
072,the-great-sage-narada-visits-the-different-homes-of-lord-krishna,pending,0,,,,2026-06-21T11:57:53
073,lord-krishna-s-daily-activities,pending,0,,,,2026-06-21T11:57:53
074,lord-krishna-in-indraprastha-city,pending,0,,,,2026-06-21T11:57:53
075,the-liberation-of-king-jarasandha,pending,0,,,,2026-06-21T11:57:53
076,lord-krishna-returns-to-the-city-of-hastinapura,pending,0,,,,2026-06-21T11:57:53
077,the-deliverance-of-sisupala,pending,0,,,,2026-06-21T11:57:53
078,why-duryodhana-felt-insulted-at-the-end-of-the-rajasuya-sacrifice,pending,0,,,,2026-06-21T11:57:53
079,the-battle-between-salva-and-members-of-the-yadu-dynasty,pending,0,,,,2026-06-21T11:57:53
080,the-deliverance-of-salva,pending,0,,,,2026-06-21T11:57:53
081,krishna-protects-everyone-from-dantavakra-viduratha-and-romaharsana,pending,0,,,,2026-06-21T11:57:53
082,the-liberation-of-balvala-and-lord-balarama-s-touring-the-sacred-place,pending,0,,,,2026-06-21T11:57:53
083,the-meeting-of-lord-krishna-with-sudama-brahmana,pending,0,,,,2026-06-21T11:57:53
084,the-brahmana-sudama-blessed-by-lord-krishna,pending,0,,,,2026-06-21T11:57:53
085,lord-krishna-and-balarama-meet-the-inhabitants-of-vrindavana,pending,0,,,,2026-06-21T11:57:53
086,draupadi-meets-the-queens-of-krishna,pending,0,,,,2026-06-21T11:57:53
087,sacrificial-ceremonies-performed-by-vasudeva,pending,0,,,,2026-06-21T11:57:53
088,spiritual-instruction-for-vasudeva-and-the-return-of-the-six-sons-of-d,pending,0,,,,2026-06-21T11:57:53
089,the-kidnapping-of-subhadra-and-lord-krishna-s-visiting-srutadeva-and-b,pending,0,,,,2026-06-21T11:57:53
090,prayers-by-the-personified-vedas,pending,0,,,,2026-06-21T11:57:53
091,the-deliverance-of-lord-siva,pending,0,,,,2026-06-21T11:57:53
092,the-superexcellent-power-of-krishna,pending,0,,,,2026-06-21T11:57:53
093,summary-description-of-lord-krishna-s-pastimes,pending,0,,,,2026-06-21T11:57:53
